gene_1,gene_2,r,gene_1_category,gene_2_category
Os03g0633800,Os06g0614100,-0.9112369380083132,Auxin responsive gene,Mechano sensing gene
Os11g0186900,Os05g0586200,0.9112148705587431,Ethyelene signalling gene,Jasmonate responsive gene
Os08g0537900,Os05g0563400,-0.910988464326636,Ethyelene signalling gene,Auxin responsive gene
Os01g0656200,Os05g0403300,0.9108083547166099,ABA repsonsive gene,Mechano sensing gene
Os06g0660200,Os03g0822000,0.9107954559645762,Auxin responsive gene,Cell wall responsive gene
Os10g0556100,Os06g0614100,-0.9106940434193246,Cell wall responsive gene,Mechano sensing gene
Os03g0810800,Os03g0633500,0.9104147074072245,ABA repsonsive gene,Auxin responsive gene
Os03g0633800,Os03g0302900,0.9102497945036466,Auxin responsive gene,Cell wall responsive gene
Os12g0601400,Os12g0133800,0.9100306176866282,Auxin responsive gene,Auxin responsive gene
Os03g0707600,Os03g0822000,0.9100267717325795,Jasmonate responsive gene,Cell wall responsive gene
Os10g0573400,Os04g0653000,0.909854109871716,ABA repsonsive gene,Jasmonate responsive gene
Os01g0856500,Os04g0397000,0.9097080500803686,Auxin responsive gene,Jasmonate responsive gene
Os03g0822000,Os08g0420600,0.9095136743941873,Cell wall responsive gene,Mechano sensing gene
Os11g0137000,Os05g0148700,-0.9094689943392795,Auxin responsive gene,Mechano sensing gene
Os03g0633800,Os04g0397000,0.9094085683281501,Auxin responsive gene,Jasmonate responsive gene
Os12g0133800,Os11g0539200,0.9093917670733327,Auxin responsive gene,Cell wall responsive gene
Os06g0597000,Os08g0237000,0.909132310975013,Auxin responsive gene,Cell wall responsive gene
Os01g0128300,Os08g0237000,0.9087005259001448,Ethyelene signalling gene,Cell wall responsive gene
Os04g0671900,Os03g0822000,0.9086386002447192,Auxin responsive gene,Cell wall responsive gene
Os06g0166500,Os08g0420600,-0.9085166317149602,Auxin responsive gene,Mechano sensing gene
Os11g0186900,Os04g0671900,-0.9083864725476981,Ethyelene signalling gene,Auxin responsive gene
Os01g0580500,Os10g0397400,0.9083452710090929,Ethyelene signalling gene,Cell wall responsive gene
Os03g0707600,Os10g0556100,0.9083274660817477,Jasmonate responsive gene,Cell wall responsive gene
Os01g0656200,Os03g0313600,0.907909803376474,ABA repsonsive gene,Mechano sensing gene
Os06g0194000,Os05g0149400,-0.9076991569951265,Ethyelene signalling gene,Ethyelene signalling gene
Os08g0237000,Os05g0477600,0.9076316048073376,Cell wall responsive gene,Cell wall responsive gene
Os02g0512000,Os04g0671900,-0.9076214223457056,Auxin responsive gene,Auxin responsive gene
Os11g0539200,Os06g0614100,-0.9076064583570597,Cell wall responsive gene,Mechano sensing gene
Os03g0438100,Os03g0822000,0.9075420962396414,Jasmonate responsive gene,Cell wall responsive gene
Os11g0137000,Os03g0707600,0.9073827737797502,Auxin responsive gene,Jasmonate responsive gene
Os06g0614100,Os08g0420600,-0.9072795170403055,Mechano sensing gene,Mechano sensing gene
Os02g0512000,Os04g0397000,-0.9070216245834865,Auxin responsive gene,Jasmonate responsive gene
Os03g0810800,Os06g0335500,0.9069781640313275,ABA repsonsive gene,Auxin responsive gene
Os04g0578000,Os03g0313600,0.9069470677080226,Ethyelene signalling gene,Mechano sensing gene
Os01g0128300,Os03g0633500,0.9069081554673586,Ethyelene signalling gene,Auxin responsive gene
Os09g0518200,Os03g0283100,0.9068517777109414,Cell wall responsive gene,Mechano sensing gene
