gene_id,category,Dharia_log2FC,Dharia_padj,PTT1_log2FC,PTT1_padj,Dharia_sig,PTT1_sig
Os01g0663300,Cell wall responsive gene,-0.133372813175783,0.973501764675882,-2.21341129559978,9.31100360562712e-07,False,True
Os10g0535900,Cell wall responsive gene,-0.884683832881031,0.585507470204569,-1.72987917786938,0.002760702460837,False,True
Os03g0332100,Cell wall responsive gene,0.638686173175898,0.580416328113283,0.194282134431375,0.700250585501407,False,False
Os04g0583500,Cell wall responsive gene,-0.97069561874196,2.41259793445699e-05,-0.389248267143027,0.0141403500419099,True,True
Os03g0336400,Cell wall responsive gene,1.4498354596228,0.192385634017911,-1.01282633936026,0.0845236224826253,False,True
Os03g0856700,Cell wall responsive gene,1.06371974153131,0.0524221029860673,1.02672369720619,0.0007037012971752,True,True
Os04g0613600,Mechano sensing gene,-0.487909980637148,0.713219342793262,-1.63189216370163,3.019380805628e-05,False,True
Os03g0284100,Mechano sensing gene,-0.0643091589194212,0.911386062709292,0.321761895986177,0.0045002416755412,False,True
Os03g0283100,Mechano sensing gene,0.309280416105345,0.626537478416802,0.0290682212196376,0.93068985390774,False,False
Os03g0296800,Mechano sensing gene,-0.125207665670578,0.861168292042786,0.0581289869611328,0.779757800437955,False,False
Os02g0735200,Mechano sensing gene,-0.25211638942695,0.502645072816818,-0.513051351099798,0.0003369353571965,False,True
Os03g0275900,Mechano sensing gene,-0.198633957507734,0.581490266246738,-0.31890551315045,0.0139794769044371,False,True
Os11g0106700,Mechano sensing gene,0.12155764903224,0.893853994848082,-0.0800281921291822,0.735267824685281,False,False
Os06g0649000,Mechano sensing gene,0.920365266347999,0.700610817671868,1.06736898878256,0.173109338884248,False,False
Os06g0614100,Mechano sensing gene,1.11016087059453,0.0063955992563406,1.93832266149468,3.93061561202716e-16,True,True
Os11g0593000,Mechano sensing gene,0.108365841991265,0.946037020548579,1.18070456217009,4.3090324684446e-06,False,True
Os03g0283000,Mechano sensing gene,4.61195911180779,,7.02509526217715,0.0014466509421157,False,True
Os05g0148700,Mechano sensing gene,1.33270124329541,1.2046427186185e-05,2.10374668340454,2.10596091798861e-26,True,True
Os06g0130400,Mechano sensing gene,0.576593457452999,0.141620723613178,1.00452332036886,3.08887359505631e-07,False,True
Os03g0305400,Mechano sensing gene,1.37739368528892,0.329568013286296,-0.16026166184127,0.85411701913243,False,False
Os12g0106000,Mechano sensing gene,-0.148324816643621,0.822794397711126,-0.267287040387675,0.132907359762019,False,False
Os08g0203400,Mechano sensing gene,1.53709044809895,0.232643902902419,3.64515710247945,9.443228644494861e-09,False,True
Os03g0294200,Mechano sensing gene,-0.179122300857428,0.633687890971127,-0.0905977906417324,0.533201709598482,False,False
Os03g0298700,Mechano sensing gene,-0.609438771060903,0.350466770428255,0.0714894000989004,0.849278450142736,False,False
Os02g0532300,Mechano sensing gene,-0.391208010130825,0.556244143135898,-1.11748237927577,3.08836740036589e-06,False,True
Os03g0764900,Mechano sensing gene,-0.691305329115082,0.537796796166647,-2.18789515337411,9.35616999140487e-08,False,True
Os03g0313600,Mechano sensing gene,-0.139833554705788,0.869818814460903,-1.18534388975144,4.84574737399112e-10,False,True
Os05g0403300,Mechano sensing gene,-0.114774250435573,0.985380336877957,-2.08439449098229,7.74370747895182e-05,False,True
Os03g0300300,Mechano sensing gene,-0.168782268303526,0.821693423192212,-0.580106649260042,0.0023933598020268,False,True
Os04g0526600,Mechano sensing gene,-0.106677140963978,0.992933318719567,-0.865891070474553,0.236538689888207,False,False
Os03g0319400,Mechano sensing gene,-0.796664402583004,0.094274310785115,-1.07511019546441,1.78574293721312e-05,True,True
Os03g0157300,Mechano sensing gene,-0.467365461139168,0.596012689237564,-1.21294020969918,7.48444225444201e-05,False,True
Os08g0420600,Mechano sensing gene,-0.595471846147237,0.373813964322983,-1.49061144073272,1.28642206175665e-07,False,True
