GO_id,term,k,n,K,N,FoldEnrichment,pvalue,FDR
GO:0006281,DNA repair,28,6072,98,29909,1.4073498964803313,0.03154295593649173,0.09969827144212563
GO:0008380,RNA splicing,5,6072,10,29909,2.4628623188405796,0.03480230265742884,0.10807030825201588
GO:0006265,DNA topological change,5,6072,11,29909,2.238965744400527,0.053353709985261684,0.16006112995578506
GO:0045010,actin nucleation,5,6072,11,29909,2.238965744400527,0.053353709985261684,0.16006112995578506
GO:0016192,vesicle-mediated transport,27,6072,99,29909,1.3433794466403164,0.05822277313188114,0.1717571807390494
GO:0007264,small GTPase-mediated signal transduction,6,6072,15,29909,1.9702898550724637,0.06497362419859957,0.18548921747019556
GO:0006334,nucleosome assembly,6,6072,15,29909,1.9702898550724637,0.06497362419859957,0.18548921747019556
GO:0009734,auxin-activated signaling pathway,7,6072,19,29909,1.8147406559877957,0.07232096998497711,0.20318748710065
GO:0006006,glucose metabolic process,5,6072,12,29909,2.052385265700483,0.07659025934033288,0.21181993598810814
GO:0042545,cell wall modification,9,6072,27,29909,1.6419082125603863,0.0795822180824163,0.21670850154750287
GO:0006351,DNA-templated transcription,26,6072,99,29909,1.2936246523203045,0.09095536687369926,0.24392575661582983
GO:0006325,chromatin organization,5,6072,13,29909,1.8945094760312151,0.10437199184516685,0.27572899338200796
GO:0007165,signal transduction,24,6072,92,29909,1.2849716446124764,0.10746581037354037,0.27972718288406834
GO:0005985,sucrose metabolic process,4,6072,10,29909,1.970289855072464,0.1262110910052988,0.3146389170132096
GO:0006694,steroid biosynthetic process,4,6072,10,29909,1.970289855072464,0.1262110910052988,0.3146389170132096
GO:0046470,phosphatidylcholine metabolic process,4,6072,10,29909,1.970289855072464,0.1262110910052988,0.3146389170132096
GO:0009733,response to auxin,12,6072,42,29909,1.407349896480331,0.12843325714367526,0.31573175714486834
GO:0009742,brassinosteroid mediated signaling pathway,5,6072,14,29909,1.7591873706004142,0.13635747392433736,0.32180363846143617
GO:0008285,negative regulation of cell population proliferation,5,6072,14,29909,1.7591873706004142,0.13635747392433736,0.32180363846143617
GO:0006520,amino acid metabolic process,10,6072,34,29909,1.4487425404944587,0.13508650010143022,0.32180363846143617
GO:0019752,carboxylic acid metabolic process,8,6072,26,29909,1.5156075808249723,0.1400493280600566,0.32616751403460553
GO:0006629,lipid metabolic process,32,6072,131,29909,1.2032304458457794,0.14327966351913,0.3293571486089092
GO:0032502,developmental process,4,6072,11,29909,1.7911725955204216,0.16784388015960566,0.36051445281252836
GO:0009073,aromatic amino acid family biosynthetic process,4,6072,11,29909,1.7911725955204216,0.16784388015960566,0.36051445281252836
GO:0051726,regulation of cell cycle,4,6072,11,29909,1.7911725955204216,0.16784388015960566,0.36051445281252836
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,4,6072,11,29909,1.7911725955204216,0.16784388015960566,0.36051445281252836
GO:0006241,CTP biosynthetic process,4,6072,11,29909,1.7911725955204216,0.16784388015960566,0.36051445281252836
GO:0034599,cellular response to oxidative stress,5,6072,15,29909,1.6419082125603863,0.17204939878720643,0.36051445281252836
GO:0001522,pseudouridine synthesis,7,6072,23,29909,1.4991335853812224,0.16921402119646572,0.36051445281252836
GO:0015031,protein transport,14,6072,53,29909,1.3011348099535138,0.17312840954273961,0.36051445281252836
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,10,6072,36,29909,1.368256843800322,0.179534300797909,0.36950664233988245
